filename,mcd_dB
KAS_F_WIKI_01365.wav,4.6905
KAS_F_WIKI_01368.wav,5.3104
KAS_F_WIKI_01371.wav,4.8387
KAS_F_WIKI_01372.wav,5.0836
KAS_F_WIKI_01404.wav,5.0951
KAS_F_WIKI_01425.wav,5.0643
KAS_F_WIKI_01463.wav,5.2132
KAS_F_WIKI_01473.wav,4.6518
KAS_F_WIKI_01500.wav,5.1020
KAS_F_WIKI_01501.wav,4.8439
KAS_F_WIKI_01504.wav,4.8663
KAS_F_WIKI_01508.wav,4.4214
KAS_F_WIKI_01518.wav,5.1296
KAS_F_WIKI_01523.wav,5.1060
KAS_F_WIKI_01536.wav,5.2590
KAS_F_WIKI_01547.wav,5.2360
KAS_F_WIKI_01554.wav,5.2780
KAS_F_WIKI_01562.wav,5.3492
KAS_F_WIKI_01570.wav,5.3488
KAS_F_WIKI_01574.wav,5.0254
KAS_F_WIKI_01580.wav,5.0206
